"Signed Integer", "8", "``int8``, ``int8_t``, ``char``"
"Signed Integer", "16", "``int16``, ``int16_t``, ``short``"
"Signed Integer", "32", "``int32``, ``int32_t``, ``int``"
"Signed Integer", "64", "``int64``, ``int64_t``, ``long``"
"Unsigned Integer", "8", "``uint8``, ``uint8_t``, ``uchar``"
"Unsigned Integer", "16", "``uint16``, ``uint16_t``, ``ushort``"
"Unsigned Integer", "32", "``uint32``, ``uint32_t``, ``uint``"
"Unsigned Integer", "64", "``uint64``, ``uint64_t``, ``ulong``"
"Floating Point", "32", "``float``, ``float32``"
"Floating Point", "64", "``double``, ``float64``"
